job,species,lat,lon,,
PhD,whitefish,44.668118,-73.380044,https://doi.org/10.1016/j.jglr.2019.09.010,Euclide et al. 2019
PhD,whitefish,44.468833,-73.260645,https://doi.org/10.1016/j.jglr.2019.09.010,Euclide et al. 2019
PhD,whitefish,44.588407,-73.265403,https://doi.org/10.1016/j.jglr.2019.09.010,Euclide et al. 2019
PhD,rainbow smelt,44.601167,-73.2765,https://doi.org/10.1016/j.jglr.2020.02.009,Euclide et al. 2020
PhD,rainbow smelt,44.619019,-73.391538,https://doi.org/10.1016/j.jglr.2020.02.009,Euclide et al. 2020
PhD,rainbow smelt,44.783667,-73.2565,https://doi.org/10.1016/j.jglr.2020.02.009,Euclide et al. 2020
PhD,rainbow smelt,44.180833,-73.394,https://doi.org/10.1016/j.jglr.2020.02.009,Euclide et al. 2020
PhD,rainbow smelt,44.468833,-73.2485,https://doi.org/10.1016/j.jglr.2020.02.009,Euclide et al. 2020
PhD,slimy sculpin,44.1567,-73.387733,https://doi.org/10.1111/eff.12385,Euclide et al. 2017
PhD,slimy sculpin,44.71345,-73.360533,https://doi.org/10.1111/eff.12385,Euclide et al. 2017
PhD,slimy sculpin,44.799714,-73.258558,https://doi.org/10.1111/eff.12385,Euclide et al. 2017
PhD,slimy sculpin,44.686083,-73.226983,https://doi.org/10.1111/eff.12385,Euclide et al. 2017
PhD,slimy sculpin,44.592017,-73.280983,https://doi.org/10.1111/eff.12385,Euclide et al. 2017
PhD,slimy sculpin,44.446,-73.238483,https://doi.org/10.1111/eff.12385,Euclide et al. 2017
PhD,slimy sculpin,44.563914,-73.319209,https://doi.org/10.1111/eff.12385,Euclide et al. 2017
MSc,mysis,44.683258,-73.37181,10.1007/s10750-016-2982-5,Euclide et al. 2017
MSc,mysis,44.484584,-73.318732,10.1007/s10750-016-2982-5,Euclide et al. 2017
MSc,mysis,44.275046,-73.336389,10.1007/s10750-016-2982-5,Euclide et al. 2017
